trnr;stim;resp;resp2;resp3;resp4;RT;RT1;RT2;RT3;RT4;correct;movement;cue;precuedur;postcuedur;premddur;prefbdur;cueOnset;stimOnset;stimOnsetLeft;stimOnsetRight
;2;2;0;0;0;1457;1457;0;0;0;1;1;AC;1500;2000;2000;2000;;;;
;2;1;0;0;0;448;448;0;0;0;1;1;SP;2000;2000;2000;1500;;;;
;1;2;0;0;0;692;692;0;0;0;0;-1;AC;1000;1500;2000;500;;;;
;1;1;0;0;0;1527;1527;0;0;0;1;-1;AC;1500;1500;2000;2000;;;;
;1;1;0;0;0;624;624;0;0;0;1;-1;SP;1000;2000;2000;1500;;;;
;1;1;0;0;0;1192;1192;0;0;0;1;-1;AC;1000;2000;2000;2000;;;;
;1;2;0;0;0;709;709;0;0;0;1;-1;SP;1000;1000;2000;1000;;;;
;1;1;0;0;0;358;358;0;0;0;1;-1;SP;2000;2000;2000;1500;;;;
;1;2;0;0;0;1573;1573;0;0;0;0;-1;AC;500;1000;2000;1500;;;;
;1;1;0;0;0;1207;1207;0;0;0;1;-1;AC;2000;1500;2000;2000;;;;
;1;2;0;0;0;615;615;0;0;0;1;-1;SP;1000;1500;2000;500;;;;
;2;1;0;0;0;353;353;0;0;0;1;1;SP;1000;500;2000;2000;;;;
;1;1;0;0;0;1190;1190;0;0;0;1;-1;AC;500;1500;2000;500;;;;
;1;2;0;0;0;338;338;0;0;0;1;-1;SP;1000;1000;2000;2000;;;;
;2;1;0;0;0;367;367;0;0;0;1;1;SP;500;1500;2000;500;;;;
;2;2;0;0;0;1311;1311;0;0;0;1;1;AC;500;2000;2000;1500;;;;
;1;2;0;0;0;1400;1400;0;0;0;0;-1;AC;1000;1000;2000;1500;;;;
;2;1;0;0;0;1372;1372;0;0;0;0;1;AC;500;500;2000;1500;;;;
;2;2;0;0;0;887;887;0;0;0;0;1;SP;1500;500;2000;1000;;;;
;2;2;0;0;0;762;762;0;0;0;1;1;AC;2000;2000;2000;1000;;;;
;2;1;0;0;0;361;361;0;0;0;1;1;SP;2000;1500;2000;1000;;;;
;1;2;0;0;0;348;348;0;0;0;1;-1;SP;2000;500;2000;1500;;;;
;2;1;0;0;0;1505;1505;0;0;0;0;1;AC;2000;2000;2000;1500;;;;
;2;1;0;0;0;1457;1457;0;0;0;0;1;AC;1000;2000;2000;2000;;;;
;1;2;0;0;0;1552;1552;0;0;0;0;-1;AC;500;2000;2000;500;;;;
;2;2;0;0;0;765;765;0;0;0;0;1;SP;1500;2000;2000;1500;;;;
;1;1;0;0;0;1018;1018;0;0;0;1;-1;AC;500;2000;2000;500;;;;
;1;1;0;0;0;1103;1103;0;0;0;1;-1;AC;1000;1000;2000;1000;;;;
;1;1;0;0;0;1080;1080;0;0;0;1;-1;AC;2000;500;2000;1000;;;;
;1;2;0;0;0;445;445;0;0;0;1;-1;SP;2000;1000;2000;2000;;;;
;1;2;0;0;0;1372;1372;0;0;0;0;-1;AC;500;2000;2000;1000;;;;
;1;1;0;0;0;1156;1156;0;0;0;1;-1;AC;500;1500;2000;1000;;;;
;2;2;0;0;0;510;510;0;0;0;1;1;SP;500;2000;2000;1000;;;;
;2;1;0;0;0;365;365;0;0;0;1;1;SP;500;1500;2000;2000;;;;
;2;2;0;0;0;516;516;0;0;0;1;1;SP;2000;2000;2000;500;;;;
;2;2;0;0;0;437;437;0;0;0;1;1;SP;500;1000;2000;500;;;;
;2;1;0;0;0;306;306;0;0;0;1;1;SP;500;1500;2000;1500;;;;
;2;2;0;0;0;1143;1143;0;0;0;1;1;AC;1000;1500;2000;1000;;;;
;2;1;0;0;0;481;481;0;0;0;1;1;SP;2000;2000;2000;2000;;;;
;1;2;0;0;0;1147;1147;0;0;0;0;-1;AC;1000;1000;2000;1000;;;;
;2;1;0;0;0;496;496;0;0;0;0;1;SP;500;1000;2000;2000;;;;
;2;2;0;0;0;1252;1252;0;0;0;1;1;AC;1500;500;2000;500;;;;
;1;2;0;0;0;602;602;0;0;0;1;-1;SP;500;2000;2000;1000;;;;
;1;1;0;0;0;1239;1239;0;0;0;1;-1;AC;1000;500;2000;1500;;;;
;1;1;0;0;0;711;711;0;0;0;1;-1;SP;2000;1000;2000;1500;;;;
;2;2;0;0;0;475;475;0;0;0;1;1;SP;1000;1500;2000;1000;;;;
;1;1;0;0;0;1377;1377;0;0;0;1;-1;AC;1000;500;2000;2000;;;;
;2;2;0;0;0;503;503;0;0;0;1;1;SP;1500;1000;2000;2000;;;;
;2;2;0;0;0;494;494;0;0;0;1;1;SP;2000;500;2000;1000;;;;
;2;1;0;0;0;310;310;0;0;0;1;1;SP;1000;1000;2000;1500;;;;
;1;2;0;0;0;456;456;0;0;0;1;-1;SP;500;1500;2000;1500;;;;
;1;1;0;0;0;1580;1580;0;0;0;1;-1;AC;500;500;2000;2000;;;;
;1;2;0;0;0;707;707;0;0;0;1;-1;SP;1500;1000;2000;1500;;;;
;1;1;0;0;0;1498;1498;0;0;0;1;-1;AC;1000;500;2000;500;;;;
;1;1;0;0;0;1820;1820;0;0;0;1;-1;AC;500;1000;2000;2000;;;;
;2;2;0;0;0;346;346;0;0;0;1;1;SP;500;500;2000;2000;;;;
;2;1;0;0;0;337;337;0;0;0;1;1;SP;1000;1500;2000;1500;;;;
;1;2;0;0;0;593;593;0;0;0;1;-1;SP;1000;2000;2000;1000;;;;
;1;1;0;0;0;1435;1435;0;0;0;1;-1;AC;1500;1000;2000;2000;;;;
;2;2;0;0;0;390;390;0;0;0;1;1;SP;500;500;2000;1000;;;;
;1;2;0;0;0;486;486;0;0;0;0;-1;AC;1000;1000;2000;500;;;;
;1;1;0;0;0;1916;1916;0;0;0;1;-1;AC;500;500;2000;500;;;;
;2;2;0;0;0;380;380;0;0;0;1;1;SP;1500;1000;2000;500;;;;
;1;1;0;0;0;1329;1329;0;0;0;1;-1;AC;1500;500;2000;1000;;;;
;1;2;0;0;0;640;640;0;0;0;1;-1;SP;500;1500;2000;1000;;;;
;2;1;0;0;0;383;383;0;0;0;1;1;SP;1000;1000;2000;1000;;;;
;2;2;0;0;0;1338;1338;0;0;0;1;1;AC;500;2000;2000;1500;;;;
;2;1;0;0;0;1404;1404;0;0;0;0;1;AC;1500;500;2000;1000;;;;
;2;2;0;0;0;487;487;0;0;0;0;1;SP;500;500;2000;500;;;;
;1;1;0;0;0;313;313;0;0;0;0;-1;SP;1500;1500;2000;2000;;;;
;2;2;0;0;0;333;333;0;0;0;0;1;SP;1000;1000;2000;1000;;;;
;1;1;0;0;0;1490;1490;0;0;0;1;-1;AC;2000;1000;2000;2000;;;;
;1;1;0;0;0;1433;1433;0;0;0;1;-1;AC;2000;500;2000;2000;;;;
;1;2;0;0;0;379;379;0;0;0;1;-1;SP;2000;1000;2000;500;;;;
;1;1;0;0;0;973;973;0;0;0;1;-1;AC;1500;1500;2000;1000;;;;
;1;2;0;0;0;1390;1390;0;0;0;0;-1;AC;2000;2000;2000;500;;;;
;1;1;0;0;0;1795;1795;0;0;0;1;-1;AC;1500;500;2000;2000;;;;
;1;2;0;0;0;1235;1235;0;0;0;0;-1;AC;1500;1000;2000;500;;;;
;2;2;0;0;0;1170;1170;0;0;0;1;1;AC;1500;1000;2000;1000;;;;
;1;1;0;0;0;1376;1376;0;0;0;1;-1;AC;2000;1000;2000;2000;;;;
;2;1;0;0;0;399;399;0;0;0;1;1;SP;2000;2000;2000;1000;;;;
;2;2;0;0;0;657;657;0;0;0;1;1;SP;1000;1500;2000;1500;;;;
;1;1;0;0;0;1305;1305;0;0;0;1;-1;AC;1500;1500;2000;2000;;;;
;2;2;0;0;0;659;659;0;0;0;1;1;SP;500;1000;2000;2000;;;;
;1;2;0;0;0;1507;1507;0;0;0;0;-1;AC;500;2000;2000;1500;;;;
;2;1;0;0;0;377;377;0;0;0;0;1;SP;2000;1000;2000;500;;;;
;1;2;0;0;0;1582;1582;0;0;0;0;-1;AC;500;1500;2000;1000;;;;
;1;1;0;0;0;695;695;0;0;0;0;-1;SP;500;500;2000;1500;;;;
;1;2;0;0;0;1065;1065;0;0;0;0;-1;AC;1000;1000;2000;500;;;;
;2;1;0;0;0;409;409;0;0;0;0;1;SP;500;500;2000;2000;;;;
;2;2;0;0;0;1526;1526;0;0;0;1;1;AC;2000;1500;2000;500;;;;
;1;2;0;0;0;1585;1585;0;0;0;0;-1;AC;1500;2000;2000;1500;;;;
;1;1;0;0;0;366;366;0;0;0;0;-1;SP;1000;1500;2000;2000;;;;
;2;2;0;0;0;472;472;0;0;0;0;1;SP;1000;2000;2000;500;;;;
;1;1;0;0;0;403;403;0;0;0;0;-1;SP;500;1000;2000;2000;;;;
;2;2;0;0;0;1514;1514;0;0;0;1;1;AC;2000;500;2000;500;;;;
;1;1;0;0;0;721;721;0;0;0;1;-1;SP;500;2000;2000;500;;;;
;2;2;0;0;0;392;392;0;0;0;1;1;SP;2000;2000;2000;500;;;;
;1;1;0;0;0;376;376;0;0;0;1;-1;SP;2000;2000;2000;500;;;;
