trnr;stim;resp;resp2;resp3;resp4;RT;RT1;RT2;RT3;RT4;correct;movement;cue;precuedur;postcuedur;premddur;prefbdur;cueOnset;stimOnset;stimOnsetLeft;stimOnsetRight
;2;2;0;0;0;335;335;0;0;0;0;1;SP;500;1000;2000;1500;;;;
;2;2;0;0;0;530;530;0;0;0;0;1;SP;1500;1500;2000;1000;;;;
;1;2;0;0;0;563;563;0;0;0;0;-1;AC;1500;500;2000;2000;;;;
;1;2;0;0;0;454;454;0;0;0;0;-1;SP;1000;1500;2000;500;;;;
;1;2;0;0;0;561;561;0;0;0;0;-1;SP;2000;1500;2000;2000;;;;
;2;2;0;0;0;700;700;0;0;0;0;1;SP;2000;1500;2000;1500;;;;
;2;2;0;0;0;583;583;0;0;0;1;1;AC;1500;1500;2000;2000;;;;
;1;1;0;0;0;1328;1328;0;0;0;1;-1;AC;1500;1500;2000;2000;;;;
;2;2;0;0;0;587;587;0;0;0;1;1;SP;1000;1000;2000;2000;;;;
;1;1;0;0;0;637;637;0;0;0;1;-1;AC;1500;1500;2000;1000;;;;
;1;1;0;0;0;1063;1063;0;0;0;1;-1;AC;2000;1500;2000;2000;;;;
;2;2;0;0;0;1275;1275;0;0;0;1;1;SP;2000;1500;2000;1500;;;;
;1;2;0;0;0;948;948;0;0;0;0;-1;AC;1000;500;2000;1500;;;;
;1;2;0;0;0;948;948;0;0;0;0;-1;SP;1500;1500;2000;500;;;;
;2;1;0;0;0;1085;1085;0;0;0;0;1;AC;500;2000;2000;1000;;;;
;2;2;0;0;0;1300;1300;0;0;0;1;1;AC;1500;1000;2000;1500;;;;
;1;2;0;0;0;1104;1104;0;0;0;1;-1;SP;500;1000;2000;500;;;;
;1;2;0;0;0;849;849;0;0;0;1;-1;SP;500;500;2000;500;;;;
;2;2;0;0;0;499;499;0;0;0;1;1;SP;1500;500;2000;2000;;;;
;2;2;0;0;0;624;624;0;0;0;1;1;AC;2000;1000;2000;1500;;;;
;2;2;0;0;0;494;494;0;0;0;1;1;SP;1500;2000;2000;500;;;;
;1;2;0;0;0;690;690;0;0;0;0;-1;AC;2000;1000;2000;1500;;;;
;1;2;0;0;0;773;773;0;0;0;0;-1;SP;500;500;2000;2000;;;;
;2;1;0;0;0;631;631;0;0;0;0;1;SP;2000;2000;2000;500;;;;
;1;2;0;0;0;897;897;0;0;0;0;-1;AC;2000;500;2000;2000;;;;
;2;1;0;0;0;1252;1252;0;0;0;0;1;AC;500;2000;2000;1000;;;;
;1;1;0;0;0;400;400;0;0;0;0;-1;SP;1500;1500;2000;2000;;;;
;2;2;0;0;0;530;530;0;0;0;1;1;AC;1500;1000;2000;1000;;;;
;2;2;0;0;0;1169;1169;0;0;0;1;1;AC;500;1000;2000;1500;;;;
;2;2;0;0;0;930;930;0;0;0;1;1;AC;500;1000;2000;1000;;;;
;1;2;0;0;0;1460;1460;0;0;0;0;-1;AC;500;1500;2000;500;;;;
;1;2;0;0;0;969;969;0;0;0;0;-1;SP;1000;2000;2000;2000;;;;
;1;2;0;0;0;419;419;0;0;0;0;-1;SP;500;500;2000;2000;;;;
;1;2;0;0;0;839;839;0;0;0;0;-1;SP;1500;500;2000;1000;;;;
;1;2;0;0;0;488;488;0;0;0;0;-1;AC;500;2000;2000;2000;;;;
;2;2;0;0;0;498;498;0;0;0;1;1;AC;2000;2000;2000;1000;;;;
;1;2;0;0;0;467;467;0;0;0;1;-1;SP;2000;2000;2000;500;;;;
;1;2;0;0;0;464;464;0;0;0;1;-1;SP;1500;1500;2000;1500;;;;
;1;2;0;0;0;564;564;0;0;0;0;-1;AC;2000;2000;2000;1000;;;;
;2;1;0;0;0;1312;1312;0;0;0;0;1;AC;1500;1500;2000;500;;;;
;1;2;0;0;0;505;505;0;0;0;0;-1;SP;2000;2000;2000;1000;;;;
;1;1;0;0;0;1234;1234;0;0;0;1;-1;AC;1500;1000;2000;500;;;;
;1;2;0;0;0;652;652;0;0;0;1;-1;SP;1500;1000;2000;1500;;;;
;1;2;0;0;0;526;526;0;0;0;1;-1;SP;1000;500;2000;2000;;;;
;1;2;0;0;0;378;378;0;0;0;1;-1;SP;1500;500;2000;2000;;;;
;1;2;0;0;0;491;491;0;0;0;1;-1;SP;1500;1000;2000;1500;;;;
;1;2;0;0;0;804;804;0;0;0;0;-1;AC;500;500;2000;500;;;;
;2;2;0;0;0;788;788;0;0;0;0;1;SP;500;1000;2000;2000;;;;
;2;2;0;0;0;406;406;0;0;0;0;1;SP;2000;1000;2000;2000;;;;
;1;2;0;0;0;390;390;0;0;0;0;-1;SP;500;1000;2000;2000;;;;
;2;2;0;0;0;504;504;0;0;0;0;1;SP;500;500;2000;1000;;;;
;2;1;0;0;0;1543;1543;0;0;0;0;1;AC;2000;1000;2000;2000;;;;
;1;2;0;0;0;778;778;0;0;0;0;-1;AC;1000;1500;2000;1500;;;;
;1;2;0;0;0;428;428;0;0;0;0;-1;AC;1000;500;2000;500;;;;
;2;2;0;0;0;1006;1006;0;0;0;1;1;AC;1000;1500;2000;500;;;;
;2;2;0;0;0;982;982;0;0;0;1;1;AC;500;500;2000;500;;;;
;2;1;0;0;0;1128;1128;0;0;0;0;1;AC;500;2000;2000;1500;;;;
;1;2;0;0;0;575;575;0;0;0;0;-1;SP;2000;1000;2000;2000;;;;
;2;2;0;0;0;908;908;0;0;0;1;1;AC;2000;1000;2000;1000;;;;
;2;2;0;0;0;566;566;0;0;0;1;1;SP;1500;2000;2000;1000;;;;
;2;2;0;0;0;1342;1342;0;0;0;1;1;SP;1000;2000;2000;500;;;;
;1;1;0;0;0;1102;1102;0;0;0;1;-1;AC;1500;1500;2000;1000;;;;
